title,year,rating,genre,director,box_office_millions
The Shawshank Redemption,1994,9.3,Drama,Frank Darabont,58
The Godfather,1972,9.2,Crime,Francis Ford Coppola,246
The Dark Knight,2008,9.0,Action,Christopher Nolan,1005
Pulp Fiction,1994,8.9,Crime,Quentin Tarantino,214
Forrest Gump,1994,8.8,Drama,Robert Zemeckis,678
Inception,2010,8.8,Sci-Fi,Christopher Nolan,829
The Matrix,1999,8.7,Sci-Fi,Lana Wachowski,463
Interstellar,2014,8.6,Sci-Fi,Christopher Nolan,677
Gladiator,2000,8.5,Action,Ridley Scott,460
Django Unchained,2012,8.4,Western,Quentin Tarantino,425
